Year,Sexo,Value
2012,,15.15
2013,,15.31
2014,,15.52
2015,,15.37
2016,,15.16
2017,,14.69
2018,,14.44
2019,,14.25
2020,,14.61
2021,,14.67
2012,Hombres,19.82
2013,Hombres,20.4
2014,Hombres,20.59
2015,Hombres,20.28
2016,Hombres,19.98
2017,Hombres,19.47
2018,Hombres,19.14
2019,Hombres,18.82
2020,Hombres,19.54
2021,Hombres,19.44
2012,Mujeres,10.82
2013,Mujeres,10.68
2014,Mujeres,10.92
2015,Mujeres,10.92
2016,Mujeres,10.81
2017,Mujeres,10.42
2018,Mujeres,10.28
2019,Mujeres,10.22
2020,Mujeres,10.36
2021,Mujeres,10.49
