Year,Gender,Age,Value
2022,,,13.25
2021,,,15.69
2020,,,16.56
2019,,,13.13
2018,,,14.71
2017,,,17.92
2016,,,19.16
2015,,,20.4
2014,,,24.32
2013,,,25.23
2012,,,23.47
2011,,,21.17
2010,,,18.65
2009,,,17.64
2022,Men,,11.78
2021,Men,,14.07
2020,Men,,15.34
2019,Men,,10.8
2018,Men,,12.65
2017,Men,,17.64
2016,Men,,19.3
2015,Men,,21.5
2014,Men,,25.53
2013,Men,,26.5
2012,Men,,25.21
2011,Men,,19.84
2010,Men,,19.12
2009,Men,,18.78
2022,Women,,14.71
2021,Women,,17.16
2020,Women,,17.8
2019,Women,,15.76
2018,Women,,16.92
2017,Women,,18.2
2016,Women,,19.0
2015,Women,,19.25
2014,Women,,22.96
2013,Women,,23.8
2012,Women,,21.64
2011,Women,,22.62
2010,Women,,18.02
2009,Women,,16.26
2022,,16 a 24,25.35
2021,,16 a 24,38.61
2020,,16 a 24,35.39
2019,,16 a 24,24.61
2018,,16 a 24,37.08
2017,,16 a 24,47.84
2016,,16 a 24,44.28
2015,,16 a 24,51.4
2022,,25 a 29,20.98
2021,,25 a 29,33.71
2020,,25 a 29,29.11
2019,,25 a 29,19.76
2018,,25 a 29,21.81
2017,,25 a 29,19.85
2016,,25 a 29,25.08
2015,,25 a 29,26.2
2022,,30 a 54,11.73
2021,,30 a 54,12.87
2020,,30 a 54,14.49
2019,,30 a 54,11.19
2018,,30 a 54,12.7
2017,,30 a 54,15.18
2016,,30 a 54,16.57
2015,,30 a 54,17.48
2022,,>=55,11.16
2021,,>=55,10.62
2020,,>=55,12.56
2019,,>=55,12.88
2018,,>=55,10.02
2017,,>=55,16.12
2016,,>=55,16.96
2015,,>=55,17.1
