Year,Sexe,Value
2020,,483.0
2019,,718.0
2018,,789.0
2017,,783.0
2016,,780.0
2015,,664.0
2014,,715.0
2013,,747.0
2012,,719.0
2011,,937.0
2010,,844.0
2021,,800180.0
2020,,801545.0
2019,,795736.0
2018,,798538.0
2017,,792086.0
2016,,791632.0
2015,,787266.0
2014,,787301.0
2013,,794228.0
2012,,799188.0
2011,,800469.0
2010,,810444.0
2009,,815440.0
2020,,800862.5
2019,,798640.5
2018,,797137.0
2017,,795312.0
2016,,791859.0
2015,,789449.0
2014,,787283.5
2013,,790764.5
2012,,796708.0
2011,,799828.5
2010,,805456.5
2009,,812942.0
2020,,60.31
2019,,89.9
2018,,98.98
2017,,98.45
2016,,98.5
2015,,84.11
2014,,90.82
2013,,94.47
2012,,90.25
2011,,117.15
2010,,104.79
2020,Homes,326.0
2019,Homes,528.0
2018,Homes,579.0
2017,Homes,586.0
2016,Homes,568.0
2015,Homes,497.0
2014,Homes,527.0
2013,Homes,538.0
2012,Homes,536.0
2011,Homes,696.0
2010,Homes,628.0
2021,Homes,380275.0
2020,Homes,381117.0
2019,Homes,378431.0
2018,Homes,380807.0
2017,Homes,377718.0
2016,Homes,378282.0
2015,Homes,376142.0
2014,Homes,375952.0
2013,Homes,380127.0
2012,Homes,383245.0
2011,Homes,384159.0
2010,Homes,390293.0
2009,Homes,393358.0
2020,Homes,380696.0
2019,Homes,379774.0
2018,Homes,379619.0
2017,Homes,379262.5
2016,Homes,378000.0
2015,Homes,377212.0
2014,Homes,376047.0
2013,Homes,378039.5
2012,Homes,381686.0
2011,Homes,383702.0
2010,Homes,387226.0
2009,Homes,391825.5
2020,Homes,85.63
2019,Homes,139.03
2018,Homes,152.52
2017,Homes,154.51
2016,Homes,150.26
2015,Homes,131.76
2014,Homes,140.14
2013,Homes,142.31
2012,Homes,140.43
2011,Homes,181.39
2010,Homes,162.18
2020,Dones,157.0
2019,Dones,190.0
2018,Dones,210.0
2017,Dones,197.0
2016,Dones,212.0
2015,Dones,167.0
2014,Dones,188.0
2013,Dones,209.0
2012,Dones,183.0
2011,Dones,241.0
2010,Dones,216.0
2021,Dones,419905.0
2020,Dones,420428.0
2019,Dones,417305.0
2018,Dones,417731.0
2017,Dones,414368.0
2016,Dones,413350.0
2015,Dones,411124.0
2014,Dones,411349.0
2013,Dones,414101.0
2012,Dones,415943.0
2011,Dones,416310.0
2010,Dones,420151.0
2009,Dones,422082.0
2020,Dones,420166.5
2019,Dones,418866.5
2018,Dones,417518.0
2017,Dones,416049.5
2016,Dones,413859.0
2015,Dones,412237.0
2014,Dones,411236.5
2013,Dones,412725.0
2012,Dones,415022.0
2011,Dones,416126.5
2010,Dones,418230.5
2009,Dones,421116.5
2020,Dones,37.37
2019,Dones,45.36
2018,Dones,50.3
2017,Dones,47.35
2016,Dones,51.23
2015,Dones,40.51
2014,Dones,45.72
2013,Dones,50.64
2012,Dones,44.09
2011,Dones,57.92
2010,Dones,51.65
