Year,Sexe,Edat,Value
2009,,,237.9
2010,,,244.95
2011,,,253.43
2012,,,249.4
2013,,,250.9
2014,,,258.61
2015,,,255.75
2016,,,248.02
2017,,,261.41
2018,,,244.5
2019,,,248.67
2009,Homes,,288.39
2010,Homes,,311.45
2011,Homes,,308.83
2012,Homes,,300.77
2013,Homes,,302.35
2014,Homes,,319.11
2015,Homes,,314.15
2016,Homes,,301.85
2017,Homes,,315.61
2018,Homes,,294.24
2019,Homes,,310.18
2009,Dones,,190.92
2010,Dones,,183.39
2011,Dones,,202.34
2012,Dones,,202.16
2013,Dones,,203.77
2014,Dones,,203.29
2015,Dones,,202.31
2016,Dones,,198.86
2017,Dones,,211.99
2018,Dones,,199.27
2019,Dones,,192.9
2009,,<30,2.73
2010,,<30,4.82
2011,,<30,1.64
2012,,<30,3.35
2013,,<30,3.86
2014,,<30,2.62
2015,,<30,3.06
2016,,<30,1.31
2017,,<30,1.31
2018,,<30,4.33
2019,,<30,1.73
2009,,30 a 69,156.85
2010,,30 a 69,162.42
2011,,30 a 69,164.12
2012,,30 a 69,157.89
2013,,30 a 69,162.39
2014,,30 a 69,178.18
2015,,30 a 69,166.16
2016,,30 a 69,165.71
2017,,30 a 69,164.04
2018,,30 a 69,156.38
2019,,30 a 69,153.15
2009,,>=70,1156.47
2010,,>=70,1155.21
2011,,>=70,1190.31
2012,,>=70,1165.8
2013,,>=70,1130.67
2014,,>=70,1100.58
2015,,>=70,1109.03
2016,,>=70,1047.12
2017,,>=70,1132.34
2018,,>=70,1030.0
2019,,>=70,1058.58
