Year,Sexo,Value
2019,,85.83
2018,,79.36
2017,,84.61
2016,,81.74
2015,,80.3
2014,,73.12
2013,,77.23
2012,,80.13
2011,,81.69
2010,,81.24
2009,,79.89
2020,Hombres,83.34
2019,Hombres,82.99
2018,Hombres,75.68
2017,Hombres,82.4
2016,Hombres,78.7
2015,Hombres,76.62
2014,Hombres,72.08
2013,Hombres,73.93
2012,Hombres,78.2
2011,Hombres,79.12
2010,Hombres,78.92
2009,Hombres,77.05
2020,Mujeres,89.65
2019,Mujeres,88.59
2018,Mujeres,82.84
2017,Mujeres,86.77
2016,Mujeres,84.7
2015,Mujeres,83.95
2014,Mujeres,74.08
2013,Mujeres,80.28
2012,Mujeres,81.88
2011,Mujeres,84.0
2010,Mujeres,83.41
2009,Mujeres,82.56
