Year,Sexo,Edad,GeoCode,Value
2021,,,,38.97
2020,,,,39.94
2019,,,,40.99
2018,,,,42.24
2017,,,,43.19
2016,,,,44.3
2015,,,,44.94
2014,,,,45.7
2021,Hombres,,,41.9
2020,Hombres,,,42.74
2019,Hombres,,,43.63
2018,Hombres,,,44.81
2017,Hombres,,,45.58
2016,Hombres,,,46.64
2015,Hombres,,,47.09
2014,Hombres,,,47.63
2021,Mujeres,,,36.19
2020,Mujeres,,,37.29
2019,Mujeres,,,38.48
2018,Mujeres,,,39.78
2017,Mujeres,,,40.9
2016,Mujeres,,,42.04
2015,Mujeres,,,42.87
2014,Mujeres,,,43.85
2021,,25 a 34,,34.53
2020,,25 a 34,,36.26
2019,,25 a 34,,37.8
2018,,25 a 34,,39.51
2017,,25 a 34,,40.88
2016,,25 a 34,,42.19
2015,,25 a 34,,42.67
2014,,25 a 34,,42.95
2021,,35 a 54,,37.32
2020,,35 a 54,,38.04
2019,,35 a 54,,38.9
2018,,35 a 54,,39.95
2017,,35 a 54,,40.65
2016,,35 a 54,,41.66
2015,,35 a 54,,42.23
2014,,35 a 54,,42.94
2021,,55 a 64,,46.45
2020,,55 a 64,,47.49
2019,,55 a 64,,48.79
2018,,55 a 64,,50.35
2017,,55 a 64,,51.67
2016,,55 a 64,,53.1
2015,,55 a 64,,54.34
2014,,55 a 64,,56.0
2021,,,1.0,19.88
2020,,,1.0,20.57
2019,,,1.0,21.55
2018,,,1.0,22.08
2017,,,1.0,22.9
2016,,,1.0,23.6
2015,,,1.0,24.24
2014,,,1.0,24.89
2021,,,2.0,15.74
2020,,,2.0,16.38
2019,,,2.0,16.97
2018,,,2.0,18.29
2017,,,2.0,19.19
2016,,,2.0,20.25
2015,,,2.0,21.23
2014,,,2.0,22.19
2021,,,3.0,21.4
2020,,,3.0,21.94
2019,,,3.0,22.79
2018,,,3.0,23.99
2017,,,3.0,24.94
2016,,,3.0,26.09
2015,,,3.0,26.17
2014,,,3.0,27.1
2021,,,4.0,30.32
2020,,,4.0,31.09
2019,,,4.0,31.77
2018,,,4.0,33.08
2017,,,4.0,33.78
2016,,,4.0,34.91
2015,,,4.0,35.61
2014,,,4.0,36.44
2021,,,5.0,38.1
2020,,,5.0,39.05
2019,,,5.0,39.63
2018,,,5.0,40.97
2017,,,5.0,42.0
2016,,,5.0,42.85
2015,,,5.0,43.73
2014,,,5.0,44.54
2021,,,6.0,13.82
2020,,,6.0,14.3
2019,,,6.0,14.8
2018,,,6.0,15.49
2017,,,6.0,15.87
2016,,,6.0,16.61
2015,,,6.0,16.78
2014,,,6.0,17.11
2021,,,7.0,49.46
2020,,,7.0,50.31
2019,,,7.0,51.7
2018,,,7.0,53.07
2017,,,7.0,54.05
2016,,,7.0,54.96
2015,,,7.0,55.28
2014,,,7.0,55.76
2021,,,8.0,39.6
2020,,,8.0,40.55
2019,,,8.0,41.5
2018,,,8.0,42.68
2017,,,8.0,43.5
2016,,,8.0,44.65
2015,,,8.0,45.37
2014,,,8.0,46.05
2021,,,9.0,48.95
2020,,,9.0,49.69
2019,,,9.0,50.67
2018,,,9.0,52.25
2017,,,9.0,53.01
2016,,,9.0,53.91
2015,,,9.0,54.26
2014,,,9.0,55.15
2021,,,10.0,43.82
2020,,,10.0,45.11
2019,,,10.0,46.52
2018,,,10.0,47.85
2017,,,10.0,48.99
2016,,,10.0,50.0
2015,,,10.0,50.69
2014,,,10.0,51.68
2021,,,11.0,52.62
2020,,,11.0,54.18
2019,,,11.0,55.81
2018,,,11.0,57.48
2017,,,11.0,58.63
2016,,,11.0,59.92
2015,,,11.0,60.7
2014,,,11.0,61.03
2021,,,12.0,38.43
2020,,,12.0,39.69
2019,,,12.0,41.0
2018,,,12.0,42.55
2017,,,12.0,43.67
2016,,,12.0,45.01
2015,,,12.0,45.73
2014,,,12.0,46.63
2021,,,13.0,30.24
2020,,,13.0,31.06
2019,,,13.0,31.75
2018,,,13.0,32.74
2017,,,13.0,33.56
2016,,,13.0,34.72
2015,,,13.0,35.54
2014,,,13.0,36.3
2021,,,14.0,30.79
2020,,,14.0,31.78
2019,,,14.0,33.02
2018,,,14.0,34.45
2017,,,14.0,35.84
2016,,,14.0,37.44
2015,,,14.0,38.19
2014,,,14.0,38.89
2021,,,15.0,50.53
2020,,,15.0,51.29
2019,,,15.0,52.21
2018,,,15.0,53.46
2017,,,15.0,54.38
2016,,,15.0,55.29
2015,,,15.0,55.86
2014,,,15.0,56.79
2021,,,16.0,50.76
2020,,,16.0,51.86
2019,,,16.0,53.34
2018,,,16.0,54.53
2017,,,16.0,55.73
2016,,,16.0,56.73
2015,,,16.0,57.75
2014,,,16.0,58.46
2021,,,17.0,40.91
2020,,,17.0,42.09
2019,,,17.0,42.84
2018,,,17.0,43.22
2017,,,17.0,44.28
2016,,,17.0,45.31
2015,,,17.0,45.9
2014,,,17.0,47.07
2021,,,18.0,55.17
2020,,,18.0,56.49
2019,,,18.0,57.96
2018,,,18.0,59.36
2017,,,18.0,60.56
2016,,,18.0,62.11
2015,,,18.0,63.07
2014,,,18.0,64.27
2021,,,19.0,54.22
2020,,,19.0,55.71
2019,,,19.0,57.31
2018,,,19.0,58.44
2017,,,19.0,59.49
2016,,,19.0,60.6
2015,,,19.0,61.3
2014,,,19.0,62.28
