Year,Sexo,Edad,GeoCode,Value
2019,,,,8.39
2018,,,,7.9
2017,,,,5.53
2016,,,,5.94
2015,,,,6.97
2014,,,,6.99
2013,,,,6.32
2012,,,,7.15
2011,,,,5.75
2010,,,,8.69
2009,,,,6.15
2019,Hombres,,,10.53
2018,Hombres,,,11.33
2017,Hombres,,,7.38
2016,Hombres,,,8.2
2015,Hombres,,,9.81
2014,Hombres,,,10.11
2013,Hombres,,,8.73
2012,Hombres,,,9.43
2011,Hombres,,,7.3
2010,Hombres,,,13.17
2009,Hombres,,,8.93
2019,Mujeres,,,6.45
2018,Mujeres,,,4.79
2017,Mujeres,,,3.85
2016,Mujeres,,,3.87
2015,Mujeres,,,4.37
2014,Mujeres,,,4.13
2013,Mujeres,,,4.12
2012,Mujeres,,,5.06
2011,Mujeres,,,4.33
2010,Mujeres,,,4.54
2009,Mujeres,,,3.56
2019,,<30,,3.89
2018,,<30,,1.3
2017,,<30,,2.61
2016,,<30,,1.31
2015,,<30,,1.75
2014,,<30,,1.74
2013,,<30,,1.71
2012,,<30,,2.51
2011,,<30,,0.82
2010,,<30,,3.62
2009,,<30,,1.56
2019,,30 a 69,,9.46
2018,,30 a 69,,10.32
2017,,30 a 69,,6.49
2016,,30 a 69,,7.61
2015,,30 a 69,,9.63
2014,,30 a 69,,8.98
2013,,30 a 69,,8.72
2012,,30 a 69,,8.24
2011,,30 a 69,,8.25
2010,,30 a 69,,12.0
2009,,30 a 69,,7.75
2019,,>=70,,13.01
2018,,>=70,,11.61
2017,,>=70,,7.59
2016,,>=70,,8.58
2015,,>=70,,6.99
2014,,>=70,,9.79
2013,,>=70,,6.34
2012,,>=70,,12.85
2011,,>=70,,6.47
2010,,>=70,,6.57
2009,,>=70,,10.44
2015,,,d1,9.14
2015,,,d2,4.68
2015,,,d3,6.55
2015,,,d4,5.98
2015,,,d5,6.73
2015,,,d6,4.57
2015,,,d7,8.2
2015,,,d8,5.9
2015,,,d9,6.48
2015,,,d10,8.73
2015,,,d11,5.46
2015,,,d12,7.11
2015,,,d13,8.44
2015,,,d14,7.53
2015,,,d15,5.33
2015,,,d16,6.7
2015,,,d18,7.08
2015,,,d19,2.95
2015,,,d171,3.08
2015,,,d172,3.08
2015,,,d173,3.08
2015,,,d174,3.08
