Year,Sexo,Edad,GeoCode,Value
2020,,,,62663.0
2019,,,,53320.75
2018,,,,55866.5
2017,,,,60300.33
2016,,,,64790.5
2015,,,,69572.42
2014,,,,76491.0
2013,,,,81772.67
2012,,,,81150.67
2011,,,,74036.58
2010,,,,70063.33
2009,,,,61158.42
2020,Hombres,,,26495.0
2019,Hombres,,,21786.67
2018,Hombres,,,23123.0
2017,Hombres,,,25663.17
2016,Hombres,,,28478.67
2015,Hombres,,,31659.08
2014,Hombres,,,36110.92
2013,Hombres,,,39771.25
2012,Hombres,,,40058.83
2011,Hombres,,,36962.33
2010,Hombres,,,35475.58
2009,Hombres,,,31214.33
2020,Mujeres,,,36168.0
2019,Mujeres,,,31534.08
2018,Mujeres,,,32743.5
2017,Mujeres,,,34637.17
2016,Mujeres,,,36311.83
2015,Mujeres,,,37913.33
2014,Mujeres,,,40380.08
2013,Mujeres,,,42001.42
2012,Mujeres,,,41091.83
2011,Mujeres,,,37074.25
2010,Mujeres,,,34587.75
2009,Mujeres,,,29944.08
2020,,16 a 24,,5259.0
2019,,16 a 24,,3777.33
2018,,16 a 24,,3819.42
2017,,16 a 24,,3931.0
2016,,16 a 24,,3850.58
2015,,16 a 24,,3841.5
2014,,16 a 24,,4921.83
2013,,16 a 24,,5587.58
2012,,16 a 24,,6243.92
2011,,16 a 24,,6478.92
2010,,16 a 24,,6732.08
2009,,16 a 24,,6504.33
2020,,25 a 29,,5949.0
2019,,25 a 29,,4285.17
2018,,25 a 29,,4358.5
2017,,25 a 29,,4500.83
2016,,25 a 29,,4924.58
2015,,25 a 29,,5443.83
2014,,25 a 29,,6382.25
2013,,25 a 29,,7544.17
2012,,25 a 29,,8543.58
2011,,25 a 29,,8518.67
2010,,25 a 29,,8821.92
2009,,25 a 29,,8269.42
2020,,30 a 54,,35173.0
2019,,30 a 54,,30379.67
2018,,30 a 54,,32927.33
2017,,30 a 54,,36870.42
2016,,30 a 54,,40982.25
2015,,30 a 54,,45319.08
2014,,30 a 54,,50370.83
2013,,30 a 54,,54379.58
2012,,30 a 54,,53419.5
2011,,30 a 54,,47941.5
2010,,30 a 54,,44681.42
2009,,30 a 54,,38095.17
2020,,>=55,,16282.0
2019,,>=55,,14878.58
2018,,>=55,,14761.25
2017,,>=55,,14998.08
2016,,>=55,,15033.08
2015,,>=55,,14968.0
2014,,>=55,,14816.08
2013,,>=55,,14261.33
2012,,>=55,,12943.67
2011,,>=55,,11097.5
2010,,>=55,,9827.92
2009,,>=55,,8289.5
2020,,,1.0,1577.08
2019,,,1.0,1256.42
2018,,,1.0,1300.75
2020,,,2.0,2326.08
2019,,,2.0,1902.0
2018,,,2.0,2021.42
2020,,,3.0,3135.75
2019,,,3.0,2667.42
2018,,,3.0,2723.5
2020,,,4.0,2377.25
2019,,,4.0,1984.25
2018,,,4.0,2116.33
2020,,,5.0,3829.17
2019,,,5.0,3245.08
2018,,,5.0,3469.25
2020,,,6.0,1466.75
2019,,,6.0,1242.0
2018,,,6.0,1277.58
2020,,,7.0,4338.0
2019,,,7.0,3732.33
2018,,,7.0,3926.58
2020,,,8.0,4315.08
2019,,,8.0,3703.33
2018,,,8.0,3891.67
2020,,,9.0,4476.25
2019,,,9.0,3862.5
2018,,,9.0,4047.08
2020,,,10.0,6575.08
2019,,,10.0,5697.08
2018,,,10.0,6067.58
2020,,,11.0,5898.0
2019,,,11.0,5084.67
2018,,,11.0,5112.92
2020,,,12.0,5105.33
2019,,,12.0,4333.75
2018,,,12.0,4578.17
2020,,,13.0,2619.83
2019,,,13.0,2190.17
2018,,,13.0,2303.58
2020,,,14.0,2026.58
2019,,,14.0,1698.25
2018,,,14.0,1766.17
2020,,,15.0,4965.58
2019,,,15.0,4261.25
2018,,,15.0,4425.75
2020,,,16.0,3874.33
2019,,,16.0,3369.0
2018,,,16.0,3512.33
2020,,,17.0,380.33
2019,,,17.0,319.0
2018,,,17.0,339.17
2020,,,18.0,1350.75
2019,,,18.0,1163.92
2018,,,18.0,1212.17
2020,,,19.0,1633.42
2019,,,19.0,1387.25
2018,,,19.0,1449.33
