Year,Sexo,Edad,Value
2012,,,5.1
2013,,,8.2
2014,,,11.5
2015,,,6.4
2016,,,7.9
2017,,,7.4
2018,,,4.0
2019,,,4.7
2012,Hombres,,6.0
2013,Hombres,,8.4
2014,Hombres,,11.4
2015,Hombres,,6.7
2016,Hombres,,6.8
2017,Hombres,,6.8
2018,Hombres,,3.8
2019,Hombres,,3.6
2012,Mujeres,,4.6
2013,Mujeres,,8.0
2014,Mujeres,,10.9
2015,Mujeres,,6.3
2016,Mujeres,,8.5
2017,Mujeres,,7.8
2018,Mujeres,,3.2
2019,Mujeres,,5.7
2012,,<16,6.2
2013,,<16,12.1
2014,,<16,19.5
2015,,<16,13.7
2016,,<16,11.9
2017,,<16,12.3
2018,,<16,7.0
2019,,<16,8.8
