Year,Sexo,Edad,GeoCode,Value
2015,,,,22.8
2016,,,,21.8
2017,,,,21.6
2018,,,,20.8
2015,Hombres,,,23.1
2016,Hombres,,,21.9
2017,Hombres,,,21.4
2018,Hombres,,,20.6
2015,Mujeres,,,22.5
2016,Mujeres,,,21.7
2017,Mujeres,,,21.9
2018,Mujeres,,,21.1
2015,,<18,,29.8
2016,,<18,,28.6
2017,,<18,,28.3
2018,,<18,,27.4
2015,,18 a 64,,25.0
2016,,18 a 64,,23.9
2017,,18 a 64,,23.3
2018,,18 a 64,,22.5
2015,,>=65,,10.3
2016,,>=65,,9.9
2017,,>=65,,11.5
2018,,>=65,,10.7
2015,,,1.0,18.9
2016,,,1.0,17.5
2017,,,1.0,16.6
2018,,,1.0,16.1
2015,,,2.0,15.1
2016,,,2.0,14.3
2017,,,2.0,13.8
2018,,,2.0,12.8
2015,,,3.0,17.3
2016,,,3.0,16.9
2017,,,3.0,16.6
2018,,,3.0,15.6
2015,,,4.0,17.9
2016,,,4.0,17.7
2017,,,4.0,17.0
2018,,,4.0,16.9
2015,,,5.0,24.3
2016,,,5.0,23.6
2017,,,5.0,23.3
2018,,,5.0,22.4
2015,,,6.0,12.3
2016,,,6.0,12.0
2017,,,6.0,11.7
2018,,,6.0,11.2
2015,,,7.0,27.5
2016,,,7.0,26.7
2017,,,7.0,27.4
2018,,,7.0,27.0
2015,,,8.0,19.5
2016,,,8.0,18.2
2017,,,8.0,18.3
2018,,,8.0,17.6
2015,,,9.0,25.0
2016,,,9.0,24.1
2017,,,9.0,24.3
2018,,,9.0,23.3
2015,,,10.0,26.1
2016,,,10.0,25.1
2017,,,10.0,25.1
2018,,,10.0,24.0
2015,,,11.0,29.3
2016,,,11.0,27.4
2017,,,11.0,27.6
2018,,,11.0,26.6
2015,,,12.0,22.8
2016,,,12.0,21.6
2017,,,12.0,21.5
2018,,,12.0,20.5
2015,,,13.0,18.4
2016,,,13.0,17.9
2017,,,13.0,18.0
2018,,,13.0,17.6
2015,,,14.0,20.1
2016,,,14.0,19.5
2017,,,14.0,19.2
2018,,,14.0,17.8
2015,,,15.0,28.8
2016,,,15.0,27.5
2017,,,15.0,27.2
2018,,,15.0,26.3
2015,,,16.0,26.6
2016,,,16.0,25.1
2017,,,16.0,25.1
2018,,,16.0,24.7
2015,,,17.0,18.2
2016,,,17.0,17.1
2017,,,17.0,16.9
2018,,,17.0,15.8
2015,,,18.0,30.0
2016,,,18.0,28.1
2017,,,18.0,26.9
2018,,,18.0,27.1
2015,,,19.0,24.0
2016,,,19.0,22.5
2017,,,19.0,21.5
2018,,,19.0,20.3
