Year,Sexo,GeoCode,Value
2020,,,3.71
2019,,,2.06
2018,,,2.83
2017,,,3.39
2016,,,2.71
2015,,,1.38
2014,,,3.12
2013,,,2.52
2012,,,2.86
2011,,,2.9
2010,,,3.84
2009,,,3.61
2020,Hombres,,3.49
2019,Hombres,,2.67
2018,Hombres,,4.15
2017,Hombres,,4.36
2016,Hombres,,4.39
2015,Hombres,,1.5
2014,Hombres,,3.43
2013,Hombres,,1.74
2012,Hombres,,4.21
2011,Hombres,,3.62
2010,Hombres,,3.24
2009,Hombres,,4.0
2020,Mujeres,,3.95
2019,Mujeres,,1.42
2018,Mujeres,,1.39
2017,Mujeres,,2.35
2016,Mujeres,,0.93
2015,Mujeres,,1.25
2014,Mujeres,,2.77
2013,Mujeres,,3.34
2012,Mujeres,,1.41
2011,Mujeres,,2.14
2010,Mujeres,,4.47
2009,Mujeres,,3.17
