Year,Sexo,Value
2020,,96.65
2019,,121.83
2018,,134.86
2017,,130.77
2016,,124.01
2015,,100.32
2014,,104.41
2013,,107.74
2012,,121.25
2011,,135.65
2010,,140.04
2020,Hombres,158.13
2019,Hombres,200.65
2018,Hombres,223.65
2017,Hombres,215.15
2016,Hombres,206.61
2015,Hombres,161.45
2014,Hombres,170.72
2013,Hombres,170.62
2012,Hombres,189.68
2011,Hombres,214.49
2010,Hombres,224.67
2020,Mujeres,40.94
2019,Mujeres,50.37
2018,Mujeres,54.13
2017,Mujeres,53.84
2016,Mujeres,48.57
2015,Mujeres,44.39
2014,Mujeres,43.77
2013,Mujeres,50.15
2012,Mujeres,58.31
2011,Mujeres,62.96
2010,Mujeres,61.69
