Year,Sexo,Edad,Value
2020,,,21.1
2019,,,22.8
2018,,,23.8
2017,,,22.3
2016,,,20.9
2015,,,16.1
2014,,,17.0
2013,,,13.3
2012,,,19.6
2020,Hombres,,18.6
2019,Hombres,,21.0
2018,Hombres,,22.3
2017,Hombres,,21.6
2016,Hombres,,21.8
2015,Hombres,,17.3
2014,Hombres,,17.1
2013,Hombres,,14.0
2012,Hombres,,21.2
2020,Mujeres,,23.4
2019,Mujeres,,24.5
2018,Mujeres,,24.9
2017,Mujeres,,22.3
2016,Mujeres,,19.2
2015,Mujeres,,15.3
2014,Mujeres,,17.4
2013,Mujeres,,13.7
2012,Mujeres,,19.1
2020,,<16,29.6
2019,,<16,27.9
2018,,<16,30.5
2017,,<16,31.6
2016,,<16,29.9
2015,,<16,22.7
2014,,<16,19.7
2013,,<16,16.4
2012,,<16,21.3
