Year,Sexo,Edad,GeoCode,Value
2009,,,,102.71
2010,,,,99.07
2011,,,,97.9
2012,,,,104.3
2013,,,,88.9
2014,,,,99.33
2015,,,,107.29
2016,,,,94.97
2017,,,,109.14
2018,,,,120.56
2019,,,,95.79
2009,Hombres,,,118.42
2010,Hombres,,,120.34
2011,Hombres,,,111.54
2012,Hombres,,,116.33
2013,Hombres,,,103.16
2014,Hombres,,,103.71
2015,Hombres,,,127.78
2016,Hombres,,,98.15
2017,Hombres,,,122.08
2018,Hombres,,,132.76
2019,Hombres,,,105.06
2009,Mujeres,,,88.1
2010,Mujeres,,,79.38
2011,Mujeres,,,85.31
2012,Mujeres,,,93.25
2013,Mujeres,,,75.84
2014,Mujeres,,,95.32
2015,Mujeres,,,88.54
2016,Mujeres,,,92.06
2017,Mujeres,,,97.34
2018,Mujeres,,,109.46
2019,Mujeres,,,87.38
2009,,<30,,1.17
2010,,<30,,2.41
2011,,<30,,0.41
2012,,<30,,0.42
2013,,<30,,0.43
2014,,<30,,1.31
2015,,<30,,0.0
2016,,<30,,0.44
2017,,<30,,0.87
2018,,<30,,0.43
2019,,<30,,0.43
2009,,30 a 69,,17.5
2010,,30 a 69,,17.33
2011,,30 a 69,,17.62
2012,,30 a 69,,15.81
2013,,30 a 69,,17.89
2014,,30 a 69,,20.2
2015,,30 a 69,,17.69
2016,,30 a 69,,15.0
2017,,30 a 69,,15.89
2018,,30 a 69,,24.9
2019,,30 a 69,,22.07
2009,,>=70,,714.37
2010,,>=70,,670.59
2011,,>=70,,650.18
2012,,>=70,,696.73
2013,,>=70,,563.52
2014,,>=70,,613.51
2015,,>=70,,671.19
2016,,>=70,,586.59
2017,,>=70,,670.3
2018,,>=70,,704.08
2019,,>=70,,541.49
2015,,,1.0,145.48
2015,,,2.0,126.79
2015,,,3.0,140.4
2015,,,4.0,75.57
2015,,,5.0,119.47
2015,,,6.0,86.85
2015,,,7.0,116.05
2015,,,8.0,81.9
2015,,,9.0,99.51
2015,,,10.0,97.11
2015,,,11.0,109.97
2015,,,12.0,77.91
2015,,,13.0,77.05
2015,,,14.0,77.37
2015,,,15.0,81.41
2015,,,16.0,75.49
2015,,,17.0,123.1
2015,,,18.0,84.96
2015,,,19.0,80.51
