Year,Sexo,Edad,GeoCode,Value
2015,,,,13.3
2016,,,,12.5
2017,,,,12.0
2018,,,,11.5
2015,Hombres,,,13.4
2016,Hombres,,,12.5
2017,Hombres,,,11.8
2018,Hombres,,,11.3
2015,Mujeres,,,13.1
2016,Mujeres,,,12.5
2017,Mujeres,,,12.2
2018,Mujeres,,,11.7
2015,,<18,,19.0
2016,,<18,,18.0
2017,,<18,,17.3
2018,,<18,,16.4
2015,,18 a 64,,14.9
2016,,18 a 64,,14.0
2017,,18 a 64,,13.4
2018,,18 a 64,,12.8
2015,,>=65,,3.5
2016,,>=65,,3.4
2017,,>=65,,3.7
2018,,>=65,,3.9
2015,,,1.0,11.4
2016,,,1.0,10.5
2017,,,1.0,9.5
2018,,,1.0,9.4
2015,,,2.0,8.9
2016,,,2.0,8.3
2017,,,2.0,7.8
2018,,,2.0,7.1
2015,,,3.0,10.3
2016,,,3.0,9.9
2017,,,3.0,9.5
2018,,,3.0,9.1
2015,,,4.0,10.6
2016,,,4.0,10.8
2017,,,4.0,9.8
2018,,,4.0,9.5
2015,,,5.0,14.2
2016,,,5.0,13.4
2017,,,5.0,13.1
2018,,,5.0,12.6
2015,,,6.0,7.7
2016,,,6.0,7.1
2017,,,6.0,6.9
2018,,,6.0,6.7
2015,,,7.0,15.7
2016,,,7.0,15.3
2017,,,7.0,14.9
2018,,,7.0,14.8
2015,,,8.0,10.4
2016,,,8.0,9.6
2017,,,8.0,9.4
2018,,,8.0,8.9
2015,,,9.0,14.2
2016,,,9.0,13.1
2017,,,9.0,13.0
2018,,,9.0,12.4
2015,,,10.0,15.2
2016,,,10.0,14.6
2017,,,10.0,14.0
2018,,,10.0,13.3
2015,,,11.0,18.2
2016,,,11.0,17.0
2017,,,11.0,16.3
2018,,,11.0,15.7
2015,,,12.0,13.3
2016,,,12.0,12.3
2017,,,12.0,12.1
2018,,,12.0,11.2
2015,,,13.0,10.7
2016,,,13.0,10.2
2017,,,13.0,10.1
2018,,,13.0,9.7
2015,,,14.0,11.7
2016,,,14.0,10.8
2017,,,14.0,10.7
2018,,,14.0,10.1
2015,,,15.0,16.7
2016,,,15.0,15.9
2017,,,15.0,14.9
2018,,,15.0,14.2
2015,,,16.0,15.0
2016,,,16.0,13.9
2017,,,16.0,13.4
2018,,,16.0,12.7
2015,,,17.0,9.7
2016,,,17.0,9.1
2017,,,17.0,8.3
2018,,,17.0,8.1
2015,,,18.0,18.0
2016,,,18.0,16.0
2017,,,18.0,15.2
2018,,,18.0,15.0
2015,,,19.0,13.4
2016,,,19.0,12.7
2017,,,19.0,11.6
2018,,,19.0,11.1
