Year,Sexo,Value
2022,,26.95
2021,,34.93
2020,,33.37
2019,,35.78
2018,,36.1
2017,,35.46
2016,,33.75
2015,,32.44
2014,,30.45
2013,,29.03
2012,,28.56
2022,Hombres,22.54
2021,Hombres,31.68
2020,Hombres,30.3
2019,Hombres,33.59
2018,Hombres,34.29
2017,Hombres,33.83
2016,Hombres,32.15
2015,Hombres,30.85
2014,Hombres,28.79
2013,Hombres,27.41
2012,Hombres,26.71
2022,Mujeres,30.46
2021,Mujeres,37.53
2020,Mujeres,35.82
2019,Mujeres,37.56
2018,Mujeres,37.59
2017,Mujeres,36.81
2016,Mujeres,35.09
2015,Mujeres,33.77
2014,Mujeres,31.85
2013,Mujeres,30.39
2012,Mujeres,30.12
