Year,Sexo,Edad,Value
2019,,,13.0
2018,,,10.0
2017,,,12.0
2016,,,18.0
2015,,,28.0
2014,,,24.0
2013,,,28.0
2012,,,27.0
2011,,,41.0
2010,,,29.0
2009,,,38.0
2021,,,800180.0
2020,,,801545.0
2019,,,795736.0
2018,,,798538.0
2017,,,792086.0
2016,,,791632.0
2015,,,787266.0
2014,,,787301.0
2013,,,794228.0
2012,,,799188.0
2011,,,800469.0
2010,,,810444.0
2009,,,815440.0
2020,,,800862.5
2019,,,798640.5
2018,,,797137.0
2017,,,795312.0
2016,,,791859.0
2015,,,789449.0
2014,,,787283.5
2013,,,790764.5
2012,,,796708.0
2011,,,799828.5
2010,,,805456.5
2009,,,812942.0
2019,,,1.63
2018,,,1.25
2017,,,1.51
2016,,,2.27
2015,,,3.55
2014,,,3.05
2013,,,3.54
2012,,,3.39
2011,,,5.13
2010,,,3.6
2009,,,4.67
2019,Hombres,,10.0
2018,Hombres,,7.0
2017,Hombres,,9.0
2016,Hombres,,14.0
2015,Hombres,,24.0
2014,Hombres,,18.0
2013,Hombres,,24.0
2012,Hombres,,20.0
2011,Hombres,,31.0
2010,Hombres,,21.0
2009,Hombres,,22.0
2021,Hombres,,380275.0
2020,Hombres,,381117.0
2019,Hombres,,378431.0
2018,Hombres,,380807.0
2017,Hombres,,377718.0
2016,Hombres,,378282.0
2015,Hombres,,376142.0
2014,Hombres,,375952.0
2013,Hombres,,380127.0
2012,Hombres,,383245.0
2011,Hombres,,384159.0
2010,Hombres,,390293.0
2009,Hombres,,393358.0
2020,Hombres,,380696.0
2019,Hombres,,379774.0
2018,Hombres,,379619.0
2017,Hombres,,379262.5
2016,Hombres,,378000.0
2015,Hombres,,377212.0
2014,Hombres,,376047.0
2013,Hombres,,378039.5
2012,Hombres,,381686.0
2011,Hombres,,383702.0
2010,Hombres,,387226.0
2009,Hombres,,391825.5
2019,Hombres,,2.63
2018,Hombres,,1.84
2017,Hombres,,2.37
2016,Hombres,,3.7
2015,Hombres,,6.36
2014,Hombres,,4.79
2013,Hombres,,6.35
2012,Hombres,,5.24
2011,Hombres,,8.08
2010,Hombres,,5.42
2009,Hombres,,5.61
2019,Mujeres,,3.0
2018,Mujeres,,3.0
2017,Mujeres,,3.0
2016,Mujeres,,4.0
2015,Mujeres,,4.0
2014,Mujeres,,6.0
2013,Mujeres,,4.0
2012,Mujeres,,7.0
2011,Mujeres,,10.0
2010,Mujeres,,8.0
2009,Mujeres,,16.0
2021,Mujeres,,419905.0
2020,Mujeres,,420428.0
2019,Mujeres,,417305.0
2018,Mujeres,,417731.0
2017,Mujeres,,414368.0
2016,Mujeres,,413350.0
2015,Mujeres,,411124.0
2014,Mujeres,,411349.0
2013,Mujeres,,414101.0
2012,Mujeres,,415943.0
2011,Mujeres,,416310.0
2010,Mujeres,,420151.0
2009,Mujeres,,422082.0
2020,Mujeres,,420166.5
2019,Mujeres,,418866.5
2018,Mujeres,,417518.0
2017,Mujeres,,416049.5
2016,Mujeres,,413859.0
2015,Mujeres,,412237.0
2014,Mujeres,,411236.5
2013,Mujeres,,412725.0
2012,Mujeres,,415022.0
2011,Mujeres,,416126.5
2010,Mujeres,,418230.5
2009,Mujeres,,421116.5
2019,Mujeres,,0.72
2018,Mujeres,,0.72
2017,Mujeres,,0.72
2016,Mujeres,,0.97
2015,Mujeres,,0.97
2014,Mujeres,,1.46
2013,Mujeres,,0.97
2012,Mujeres,,1.69
2011,Mujeres,,2.4
2010,Mujeres,,1.91
2009,Mujeres,,3.8
2019,,<30,1.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,1.0
2015,,<30,1.0
2014,,<30,2.0
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.0
2021,,<30,231265.0
