Year,Sexo,Value
2022,,13.86
2021,,14.38
2020,,14.67
2019,,14.25
2018,,14.44
2017,,14.69
2016,,15.15
2015,,15.36
2014,,15.51
2013,,15.3
2012,,14.93
2022,Hombres,18.46
2021,Hombres,19.13
2020,Hombres,19.57
2019,Hombres,18.81
2018,Hombres,19.13
2017,Hombres,19.46
2016,Hombres,19.97
2015,Hombres,20.27
2014,Hombres,20.58
2013,Hombres,20.39
2012,Hombres,19.78
2022,Mujeres,9.91
2021,Mujeres,10.26
2020,Mujeres,10.43
2019,Mujeres,10.22
2018,Mujeres,10.28
2017,Mujeres,10.42
2016,Mujeres,10.81
2015,Mujeres,10.92
2014,Mujeres,10.92
2013,Mujeres,10.68
2012,Mujeres,10.43
