Year,Sexo,Value
2019,,1.79
2018,,1.9
2017,,2.56
2016,,1.74
2015,,0.95
2014,,2.65
2013,,2.01
2012,,1.63
2011,,1.97
2010,,2.94
2009,,2.86
2019,Hombres,2.44
2018,Hombres,2.32
2017,Hombres,3.62
2016,Hombres,2.48
2015,Hombres,1.25
2014,Hombres,3.0
2013,Hombres,1.21
2012,Hombres,2.63
2011,Hombres,2.33
2010,Hombres,2.49
2009,Hombres,3.06
2019,Mujeres,1.11
2018,Mujeres,1.45
2017,Mujeres,1.42
2016,Mujeres,0.97
2015,Mujeres,0.65
2014,Mujeres,2.26
2013,Mujeres,2.85
2012,Mujeres,0.56
2011,Mujeres,1.61
2010,Mujeres,3.42
2009,Mujeres,2.64
