Year,Sexo,Edad,GeoCode,Value
2021,,,,61.03
2020,,,,60.06
2019,,,,59.01
2018,,,,57.76
2017,,,,56.8
2016,,,,55.7
2015,,,,55.06
2014,,,,54.3
2021,Hombres,,,58.1
2020,Hombres,,,57.26
2019,Hombres,,,56.37
2018,Hombres,,,55.18
2017,Hombres,,,54.41
2016,Hombres,,,53.36
2015,Hombres,,,52.91
2014,Hombres,,,52.37
2021,Mujeres,,,63.81
2020,Mujeres,,,62.71
2019,Mujeres,,,61.52
2018,Mujeres,,,60.22
2017,Mujeres,,,59.09
2016,Mujeres,,,57.96
2015,Mujeres,,,57.13
2014,Mujeres,,,56.15
2021,,25 a 34,,65.47
2020,,25 a 34,,63.74
2019,,25 a 34,,62.2
2018,,25 a 34,,60.48
2017,,25 a 34,,59.12
2016,,25 a 34,,57.81
2015,,25 a 34,,57.33
2014,,25 a 34,,57.05
2021,,35 a 54,,62.68
2020,,35 a 54,,61.96
2019,,35 a 54,,61.1
2018,,35 a 54,,60.04
2017,,35 a 54,,59.34
2016,,35 a 54,,58.34
2015,,35 a 54,,57.77
2014,,35 a 54,,57.06
2021,,55 a 64,,53.55
2020,,55 a 64,,52.51
2019,,55 a 64,,51.21
2018,,55 a 64,,49.65
2017,,55 a 64,,48.32
2016,,55 a 64,,46.9
2015,,55 a 64,,45.66
2014,,55 a 64,,44.0
2021,,,1.0,80.12
2020,,,1.0,79.43
2019,,,1.0,78.45
2018,,,1.0,77.92
2017,,,1.0,77.1
2016,,,1.0,76.4
2015,,,1.0,75.76
2014,,,1.0,75.11
2021,,,2.0,84.26
2020,,,2.0,83.62
2019,,,2.0,83.03
2018,,,2.0,81.71
2017,,,2.0,80.81
2016,,,2.0,79.75
2015,,,2.0,78.77
2014,,,2.0,77.81
2021,,,3.0,78.6
2020,,,3.0,78.06
2019,,,3.0,77.21
2018,,,3.0,76.01
2017,,,3.0,75.06
2016,,,3.0,73.91
2015,,,3.0,73.83
2014,,,3.0,72.9
2021,,,4.0,69.68
2020,,,4.0,68.91
2019,,,4.0,68.23
2018,,,4.0,66.91
2017,,,4.0,66.21
2016,,,4.0,65.09
2015,,,4.0,64.39
2014,,,4.0,63.56
2021,,,5.0,61.9
2020,,,5.0,60.95
2019,,,5.0,60.37
2018,,,5.0,59.03
2017,,,5.0,57.99
2016,,,5.0,57.15
2015,,,5.0,56.27
2014,,,5.0,55.46
2021,,,6.0,86.18
2020,,,6.0,85.7
2019,,,6.0,85.2
2018,,,6.0,84.51
2017,,,6.0,84.12
2016,,,6.0,83.39
2015,,,6.0,83.22
2014,,,6.0,82.89
2021,,,7.0,50.54
2020,,,7.0,49.69
2019,,,7.0,48.3
2018,,,7.0,46.92
2017,,,7.0,45.93
2016,,,7.0,45.04
2015,,,7.0,44.72
2014,,,7.0,44.24
2021,,,8.0,60.4
2020,,,8.0,59.45
2019,,,8.0,58.5
2018,,,8.0,57.32
2017,,,8.0,56.5
2016,,,8.0,55.35
2015,,,8.0,54.63
2014,,,8.0,53.95
2021,,,9.0,51.05
2020,,,9.0,50.31
2019,,,9.0,49.33
2018,,,9.0,47.74
2017,,,9.0,46.97
2016,,,9.0,46.09
2015,,,9.0,45.74
2014,,,9.0,44.85
2021,,,10.0,56.18
2020,,,10.0,54.89
2019,,,10.0,53.48
2018,,,10.0,52.15
2017,,,10.0,51.0
2016,,,10.0,50.0
2015,,,10.0,49.31
2014,,,10.0,48.32
2021,,,11.0,47.38
2020,,,11.0,45.82
2019,,,11.0,44.19
2018,,,11.0,42.52
2017,,,11.0,41.36
2016,,,11.0,40.08
2015,,,11.0,39.3
2014,,,11.0,38.97
2021,,,12.0,61.57
2020,,,12.0,60.31
2019,,,12.0,59.0
2018,,,12.0,57.44
2017,,,12.0,56.31
2016,,,12.0,54.99
2015,,,12.0,54.27
2014,,,12.0,53.37
2021,,,13.0,69.76
2020,,,13.0,68.94
2019,,,13.0,68.25
2018,,,13.0,67.26
2017,,,13.0,66.43
2016,,,13.0,65.28
2015,,,13.0,64.46
2014,,,13.0,63.7
2021,,,14.0,69.21
2020,,,14.0,68.22
2019,,,14.0,66.98
2018,,,14.0,65.55
2017,,,14.0,64.16
2016,,,14.0,62.56
2015,,,14.0,61.81
2014,,,14.0,61.11
2021,,,15.0,49.47
2020,,,15.0,48.71
2019,,,15.0,47.79
2018,,,15.0,46.53
2017,,,15.0,45.6
2016,,,15.0,44.71
2015,,,15.0,44.14
2014,,,15.0,43.21
2021,,,16.0,49.24
2020,,,16.0,48.14
2019,,,16.0,46.66
2018,,,16.0,45.47
2017,,,16.0,44.26
2016,,,16.0,43.27
2015,,,16.0,42.25
2014,,,16.0,41.54
2021,,,17.0,59.09
2020,,,17.0,57.91
2019,,,17.0,57.16
2018,,,17.0,56.78
2017,,,17.0,55.72
2016,,,17.0,54.69
2015,,,17.0,54.1
2014,,,17.0,52.93
2021,,,18.0,44.83
2020,,,18.0,43.51
2019,,,18.0,42.04
2018,,,18.0,40.64
2017,,,18.0,39.43
2016,,,18.0,37.89
2015,,,18.0,36.93
2014,,,18.0,35.73
2021,,,19.0,45.78
2020,,,19.0,44.29
2019,,,19.0,42.69
2018,,,19.0,41.56
2017,,,19.0,40.51
2016,,,19.0,39.4
2015,,,19.0,38.7
2014,,,19.0,37.72
