Year,Sexo,Value
2022,,68.04
2021,,68.3
2020,,70.61
2019,,68.72
2018,,69.52
2017,,67.59
2016,,67.98
2015,,67.72
2014,,67.57
2013,,66.61
2012,,65.5
2011,,64.93
2010,,61.28
2009,,60.32
2022,Hombres,68.12
2021,Hombres,68.06
2020,Hombres,70.61
2019,Hombres,68.22
2018,Hombres,69.04
2017,Hombres,67.28
2016,Hombres,67.35
2015,Hombres,67.16
2014,Hombres,67.17
2013,Hombres,66.29
2012,Hombres,64.88
2011,Hombres,62.83
2010,Hombres,58.6
2009,Hombres,58.24
2022,Mujeres,67.96
2021,Mujeres,68.56
2020,Mujeres,70.61
2019,Mujeres,69.25
2018,Mujeres,70.03
2017,Mujeres,67.91
2016,Mujeres,68.65
2015,Mujeres,68.32
2014,Mujeres,67.99
2013,Mujeres,66.95
2012,Mujeres,66.17
2011,Mujeres,67.16
2010,Mujeres,64.14
2009,Mujeres,62.48
