Year,Sexo,Edad,Value
2020,,,3195.92
2019,,,3129.58
2018,,,3176.5
2017,,,3301.92
2016,,,3371.17
2015,,,3458.33
2014,,,3574.58
2013,,,3537.08
2012,,,3311.08
2011,,,2781.0
2010,,,2336.0
2009,,,1976.67
2020,Hombres,,1520.83
2019,Hombres,,1475.75
2018,Hombres,,1497.2
2017,Hombres,,1548.58
2016,Hombres,,1554.83
2015,Hombres,,1613.33
2014,Hombres,,1713.92
2013,Hombres,,1682.0
2012,Hombres,,1562.0
2011,Hombres,,1316.08
2010,Hombres,,1095.92
2009,Hombres,,912.33
2020,Mujeres,,1675.08
2019,Mujeres,,1653.83
2018,Mujeres,,1679.3
2017,Mujeres,,1753.33
2016,Mujeres,,1816.33
2015,Mujeres,,1845.0
2014,Mujeres,,1860.67
2013,Mujeres,,1855.08
2012,Mujeres,,1749.08
2011,Mujeres,,1464.92
2010,Mujeres,,1240.08
2009,Mujeres,,1064.33
2020,,<30,409.75
2019,,<30,397.42
2018,,<30,372.3
2017,,<30,349.75
2016,,<30,339.0
2015,,<30,332.17
2014,,<30,371.67
2013,,<30,399.83
2012,,<30,420.33
2011,,<30,389.17
2010,,<30,329.75
2009,,<30,309.33
2020,,30 a 49,1200.58
2019,,30 a 49,1226.33
2018,,30 a 49,1308.4
2017,,30 a 49,1421.33
2016,,30 a 49,1521.17
2015,,30 a 49,1616.42
2014,,30 a 49,1746.0
2013,,30 a 49,1766.83
2012,,30 a 49,1678.67
2011,,30 a 49,1434.17
2010,,30 a 49,1220.75
2009,,30 a 49,1032.0
2020,,>=50,1585.58
2019,,>=50,1505.83
2018,,>=50,1495.8
2017,,>=50,1530.83
2016,,>=50,1511.0
2015,,>=50,1509.75
2014,,>=50,1456.92
2013,,>=50,1367.5
2012,,>=50,1206.17
2011,,>=50,957.67
2010,,>=50,785.5
2009,,>=50,635.33
