Year,Sexo,GeoCode,Value
2009,,,11356
2010,,,11837
2011,,,12309
2012,,,12439
2013,,,12444
2014,,,12729
2015,,,12851
2016,,,12946
2017,,,12879
2018,,,12853
2019,,,12772
2020,,,12722
2021,,,12768
2009,Hombres,,2240
2010,Hombres,,2276
2011,Hombres,,2343
2012,Hombres,,2315
2013,Hombres,,2315
2014,Hombres,,2292
2015,Hombres,,2221
2016,Hombres,,2183
2017,Hombres,,2187
2018,Hombres,,2117
2019,Hombres,,2104
2020,Hombres,,2127
2021,Hombres,,2062
2009,Mujeres,,9116
2010,Mujeres,,9561
2011,Mujeres,,9966
2012,Mujeres,,10124
2013,Mujeres,,10129
2014,Mujeres,,10437
2015,Mujeres,,10630
2016,Mujeres,,10763
2017,Mujeres,,10692
2018,Mujeres,,10736
2019,Mujeres,,10668
2020,Mujeres,,10595
2021,Mujeres,,10706
2009,,1.0,388
2010,,1.0,381
2011,,1.0,416
2012,,1.0,416
2013,,1.0,397
2014,,1.0,417
2015,,1.0,442
2016,,1.0,430
2017,,1.0,432
2018,,1.0,430
2019,,1.0,459
2020,,1.0,455
2021,,1.0,474
2009,,2.0,673
2010,,2.0,679
2011,,2.0,675
2012,,2.0,706
2013,,2.0,731
2014,,2.0,753
2015,,2.0,738
2016,,2.0,703
2017,,2.0,680
2018,,2.0,696
2019,,2.0,718
2020,,2.0,741
2021,,2.0,737
2009,,3.0,710
2010,,3.0,781
2011,,3.0,806
2012,,3.0,819
2013,,3.0,810
2014,,3.0,798
2015,,3.0,785
2016,,3.0,789
2017,,3.0,820
2018,,3.0,790
2019,,3.0,790
2020,,3.0,775
2021,,3.0,788
2009,,4.0,522
2010,,4.0,571
2011,,4.0,608
2012,,4.0,590
2013,,4.0,584
2014,,4.0,625
2015,,4.0,659
2016,,4.0,680
2017,,4.0,682
2018,,4.0,681
2019,,4.0,668
2020,,4.0,655
2021,,4.0,667
2009,,5.0,717
2010,,5.0,686
2011,,5.0,706
2012,,5.0,735
2013,,5.0,752
2014,,5.0,705
2015,,5.0,707
2016,,5.0,688
2017,,5.0,708
2018,,5.0,738
2019,,5.0,722
2020,,5.0,708
2021,,5.0,714
2009,,6.0,487
2010,,6.0,488
2011,,6.0,463
2012,,6.0,461
2013,,6.0,472
2014,,6.0,475
2015,,6.0,496
2016,,6.0,477
2017,,6.0,470
2018,,6.0,466
2019,,6.0,474
2020,,6.0,489
2021,,6.0,501
2009,,7.0,711
2010,,7.0,693
2011,,7.0,745
2012,,7.0,736
2013,,7.0,703
2014,,7.0,742
2015,,7.0,753
2016,,7.0,755
2017,,7.0,764
2018,,7.0,736
2019,,7.0,724
2020,,7.0,717
2021,,7.0,725
2009,,8.0,820
2010,,8.0,852
2011,,8.0,904
2012,,8.0,898
2013,,8.0,917
2014,,8.0,909
2015,,8.0,956
2016,,8.0,951
2017,,8.0,944
2018,,8.0,941
2019,,8.0,936
2020,,8.0,910
2021,,8.0,913
2009,,9.0,722
2010,,9.0,779
2011,,9.0,794
2012,,9.0,776
2013,,9.0,784
2014,,9.0,817
2015,,9.0,814
2016,,9.0,842
2017,,9.0,828
2018,,9.0,825
2019,,9.0,825
2020,,9.0,831
2021,,9.0,828
2009,,10.0,1024
2010,,10.0,1064
2011,,10.0,1116
2012,,10.0,1165
2013,,10.0,1146
2014,,10.0,1198
2015,,10.0,1193
2016,,10.0,1224
2017,,10.0,1178
2018,,10.0,1188
2019,,10.0,1173
2020,,10.0,1209
2021,,10.0,1201
2009,,11.0,765
2010,,11.0,842
2011,,11.0,886
2012,,11.0,886
2013,,11.0,875
2014,,11.0,914
2015,,11.0,931
2016,,11.0,918
2017,,11.0,926
2018,,11.0,937
2019,,11.0,916
2020,,11.0,882
2021,,11.0,899
2009,,12.0,1004
2010,,12.0,1037
2011,,12.0,1124
2012,,12.0,1150
2013,,12.0,1156
2014,,12.0,1165
2015,,12.0,1159
2016,,12.0,1201
2017,,12.0,1180
2018,,12.0,1149
2019,,12.0,1116
2020,,12.0,1081
2021,,12.0,1090
2009,,13.0,562
2010,,13.0,575
2011,,13.0,556
2012,,13.0,522
2013,,13.0,490
2014,,13.0,480
2015,,13.0,482
2016,,13.0,474
2017,,13.0,485
2018,,13.0,482
2019,,13.0,479
2020,,13.0,454
2021,,13.0,456
2009,,14.0,425
2010,,14.0,443
2011,,14.0,454
2012,,14.0,436
2013,,14.0,428
2014,,14.0,395
2015,,14.0,417
2016,,14.0,411
2017,,14.0,398
2018,,14.0,393
2019,,14.0,387
2020,,14.0,393
2021,,14.0,396
2009,,15.0,715
2010,,15.0,753
2011,,15.0,764
2012,,15.0,773
2013,,15.0,811
2014,,15.0,887
2015,,15.0,864
2016,,15.0,903
2017,,15.0,879
2018,,15.0,907
2019,,15.0,853
2020,,15.0,873
2021,,15.0,876
2009,,16.0,576
2010,,16.0,613
2011,,16.0,676
2012,,16.0,735
2013,,16.0,762
2014,,16.0,769
2015,,16.0,762
2016,,16.0,794
2017,,16.0,795
2018,,16.0,789
2019,,16.0,802
2020,,16.0,788
2021,,16.0,774
2009,,17.0,77
2010,,17.0,87
2011,,17.0,85
2012,,17.0,84
2013,,17.0,87
2014,,17.0,97
2015,,17.0,104
2016,,17.0,100
2017,,17.0,113
2018,,17.0,111
