Year,Sexo,Value
2009,,79.89
2010,,81.24
2011,,81.69
2012,,80.13
2013,,77.23
2014,,73.12
2015,,80.3
2016,,81.74
2017,,84.61
2018,,79.36
2019,,85.83
2020,,86.58
2009,Hombres,77.05
2010,Hombres,78.92
2011,Hombres,79.12
2012,Hombres,78.2
2013,Hombres,73.93
2014,Hombres,72.08
2015,Hombres,76.62
2016,Hombres,78.7
2017,Hombres,82.4
2018,Hombres,75.68
2019,Hombres,82.99
2020,Hombres,83.34
2009,Mujeres,82.56
2010,Mujeres,83.41
2011,Mujeres,84.0
2012,Mujeres,81.88
2013,Mujeres,80.28
2014,Mujeres,74.08
2015,Mujeres,83.95
2016,Mujeres,84.7
2017,Mujeres,86.77
2018,Mujeres,82.84
2019,Mujeres,88.59
2020,Mujeres,89.65
