Year,Sexe,Value
2022,,13.86
2021,,14.38
2020,,14.67
2019,,14.25
2018,,14.44
2017,,14.69
2016,,15.15
2015,,15.36
2014,,15.51
2013,,15.3
2012,,14.93
2022,Homes,18.46
2021,Homes,19.13
2020,Homes,19.57
2019,Homes,18.81
2018,Homes,19.13
2017,Homes,19.46
2016,Homes,19.97
2015,Homes,20.27
2014,Homes,20.58
2013,Homes,20.39
2012,Homes,19.78
2022,Dones,9.91
2021,Dones,10.26
2020,Dones,10.43
2019,Dones,10.22
2018,Dones,10.28
2017,Dones,10.42
2016,Dones,10.81
2015,Dones,10.92
2014,Dones,10.92
2013,Dones,10.68
2012,Dones,10.43
