Year,Gender,Age,Value
2020,,,264.71
2019,,,248.67
2018,,,244.5
2017,,,261.41
2016,,,248.02
2015,,,255.75
2014,,,258.61
2013,,,250.9
2012,,,249.4
2011,,,253.43
2010,,,244.95
2009,,,237.9
2020,Men,,330.45
2019,Men,,310.18
2018,Men,,294.24
2017,Men,,315.61
2016,Men,,301.85
2015,Men,,314.15
2014,Men,,319.11
2013,Men,,302.35
2012,Men,,300.77
2011,Men,,308.83
2010,Men,,311.45
2009,Men,,288.39
2020,Women,,205.16
2019,Women,,192.9
2018,Women,,199.27
2017,Women,,211.99
2016,Women,,198.86
2015,Women,,202.31
2014,Women,,203.29
2013,Women,,203.77
2012,Women,,202.16
2011,Women,,202.34
2010,Women,,183.39
2009,Women,,190.92
2020,,<30,4.74
2019,,<30,1.73
2018,,<30,4.33
2017,,<30,1.31
2016,,<30,1.31
2015,,<30,3.06
2014,,<30,2.62
2013,,<30,3.86
2012,,<30,3.35
2011,,<30,1.64
2010,,<30,4.82
2009,,<30,2.73
2020,,30 a 69,160.61
2019,,30 a 69,153.15
2018,,30 a 69,156.38
2017,,30 a 69,164.04
2016,,30 a 69,165.71
2015,,30 a 69,166.16
2014,,30 a 69,178.18
2013,,30 a 69,162.39
2012,,30 a 69,157.89
2011,,30 a 69,164.12
2010,,30 a 69,162.42
2009,,30 a 69,156.85
2020,,>=70,1116.87
2019,,>=70,1058.58
2018,,>=70,1030.0
2017,,>=70,1132.34
2016,,>=70,1047.12
2015,,>=70,1109.03
2014,,>=70,1100.58
2013,,>=70,1130.67
2012,,>=70,1165.8
2011,,>=70,1190.31
2010,,>=70,1155.21
2009,,>=70,1156.47
