Year,Gender,Age,Value
2020,,,0.0
2019,,,0.13
2018,,,0.25
2017,,,0.13
2016,,,0.51
2015,,,0.0
2014,,,0.51
2013,,,0.25
2012,,,0.88
2011,,,0.75
2010,,,0.87
2009,,,0.62
2020,Men,,0.0
2019,Men,,0.26
2018,Men,,0.26
2017,Men,,0.26
2016,Men,,1.06
2015,Men,,0.0
2014,Men,,0.8
2013,Men,,0.53
2012,Men,,1.83
2011,Men,,1.3
2010,Men,,1.29
2009,Men,,0.77
2020,Women,,0.0
2019,Women,,0.0
2018,Women,,0.24
2017,Women,,0.0
2016,Women,,0.0
2015,Women,,0.0
2014,Women,,0.24
2013,Women,,0.0
2012,Women,,0.0
2011,Women,,0.24
2010,Women,,0.48
2009,Women,,0.47
2020,,<30,0.0
2019,,<30,0.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.0
2015,,<30,0.0
2014,,<30,0.0
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.4
2009,,<30,0.39
2020,,30 a 69,0.0
2019,,30 a 69,0.23
2018,,30 a 69,0.22
2017,,30 a 69,0.0
2016,,30 a 69,0.22
2015,,30 a 69,0.0
2014,,30 a 69,0.67
2013,,30 a 69,0.45
2012,,30 a 69,1.56
2011,,30 a 69,0.89
2010,,30 a 69,1.11
2009,,30 a 69,0.66
2020,,>=70,0.0
2019,,>=70,0.0
2018,,>=70,0.83
2017,,>=70,0.84
2016,,>=70,2.57
2015,,>=70,0.0
2014,,>=70,0.89
2013,,>=70,0.0
2012,,>=70,0.0
2011,,>=70,1.85
2010,,>=70,0.94
2009,,>=70,0.95
