Year,Sexe,Edat,Value
2021,,,1.63
2020,,,1.25
2019,,,1.38
2018,,,1.38
2017,,,2.89
2016,,,2.78
2015,,,3.67
2014,,,2.54
2013,,,3.16
2012,,,2.76
2011,,,3.5
2010,,,3.72
2009,,,4.18
2021,Homes,,2.11
2020,Homes,,1.05
2019,Homes,,1.84
2018,Homes,,1.32
2017,Homes,,2.9
2016,Homes,,2.65
2015,Homes,,3.98
2014,Homes,,2.93
2013,Homes,,3.17
2012,Homes,,3.93
2011,Homes,,2.87
2010,Homes,,3.87
2009,Homes,,4.34
2021,Dones,,1.19
2020,Dones,,1.43
2019,Dones,,0.95
2018,Dones,,1.44
2017,Dones,,2.88
2016,Dones,,2.9
2015,Dones,,3.4
2014,Dones,,2.19
2013,Dones,,3.15
2012,Dones,,1.69
2011,Dones,,4.09
2010,Dones,,3.59
2009,Dones,,4.04
2021,,<30,0.0
2020,,<30,0.0
2019,,<30,0.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.0
2015,,<30,0.0
2014,,<30,0.0
2013,,<30,0.43
2012,,<30,0.0
2011,,<30,0.0
2010,,<30,0.0
2009,,<30,0.39
2021,,30 a 69,1.81
2020,,30 a 69,0.9
2019,,30 a 69,1.35
2018,,30 a 69,0.9
2017,,30 a 69,1.79
2016,,30 a 69,2.02
2015,,30 a 69,2.91
2014,,30 a 69,1.35
2013,,30 a 69,2.01
2012,,30 a 69,3.12
2011,,30 a 69,2.01
2010,,30 a 69,2.22
2009,,30 a 69,2.44
2021,,>=70,3.97
2020,,>=70,4.8
2019,,>=70,4.07
2018,,>=70,5.81
2017,,>=70,12.65
2016,,>=70,11.15
2015,,>=70,13.98
2014,,>=70,12.47
2013,,>=70,13.59
2012,,>=70,7.34
2011,,>=70,17.57
2010,,>=70,18.78
2009,,>=70,20.87
