Year,Gender,Age,Value
2022,,,16.0
2021,,,18.0
2020,,,16.7
2019,,,15.0
2018,,,14.7
2017,,,14.1
2016,,,13.6
2015,,,13.4
2014,,,13.4
2013,,,13.8
2012,,,15.3
2011,,,17.1
2010,,,17.5
2009,,,16.5
2022,Men,,15.5
2021,Men,,17.3
2020,Men,,16.4
2019,Men,,15.1
2018,Men,,15.1
2017,Men,,15.0
2016,Men,,15.1
2015,Men,,15.2
2014,Men,,15.2
2013,Men,,15.7
2012,Men,,17.3
2011,Men,,19.6
2010,Men,,20.7
2009,Men,,19.9
2022,Women,,16.4
2021,Women,,18.5
2020,Women,,16.9
2019,Women,,15.0
2018,Women,,14.5
2017,Women,,13.5
2016,Women,,12.4
2015,Women,,11.9
2014,Women,,11.9
2013,Women,,12.1
2012,Women,,13.4
2011,Women,,14.7
2010,Women,,14.3
2009,Women,,13.0
2022,,<30,16.6
2021,,<30,17.8
2020,,<30,16.8
2019,,<30,15.9
2018,,<30,16.0
2017,,<30,15.6
2016,,<30,15.0
2015,,<30,14.8
2014,,<30,14.6
2013,,<30,13.8
2012,,<30,15.2
2011,,<30,16.9
2010,,<30,17.1
2009,,<30,16.2
2022,,30 a 49,22.9
2021,,30 a 49,24.7
2020,,30 a 49,22.5
2019,,30 a 49,20.4
2018,,30 a 49,19.5
2017,,30 a 49,18.4
2016,,30 a 49,17.2
2015,,30 a 49,16.8
2014,,30 a 49,16.4
2013,,30 a 49,16.9
2012,,30 a 49,18.7
2011,,30 a 49,21.1
2010,,30 a 49,21.6
2009,,30 a 49,20.5
2022,,>=50,9.8
2021,,>=50,11.2
2020,,>=50,10.2
2019,,>=50,9.3
2018,,>=50,9.0
2017,,>=50,8.5
2016,,>=50,8.3
2015,,>=50,8.0
2014,,>=50,8.0
2013,,>=50,8.2
2012,,>=50,8.7
2011,,>=50,9.1
2010,,>=50,8.7
2009,,>=50,7.8
