Year,Gender,Value
2021,,54.56
2020,,55.51
2019,,48.71
2018,,46.11
2017,,38.55
2016,,37.43
2015,,34.42
2014,,30.81
2013,,16.92
2012,,21.72
2011,,18.53
2010,,14.18
2021,Men,64.89
2020,Men,59.93
2019,Men,57.92
2018,Men,53.03
2017,Men,44.42
2016,Men,48.46
2015,Men,40.57
2014,Men,43.39
2013,Men,18.47
2012,Men,22.89
2011,Men,20.3
2010,Men,15.36
2021,Women,44.77
2020,Women,51.58
2019,Women,39.17
2018,Women,39.36
2017,Women,31.25
2016,Women,27.86
2015,Women,29.94
2014,Women,22.37
2013,Women,15.75
2012,Women,20.63
2011,Women,16.69
2010,Women,13.06
