Year,Value
2020,483.0
2019,718.0
2018,789.0
2017,783.0
2016,780.0
2015,664.0
2014,715.0
2013,747.0
2012,719.0
2011,937.0
2010,844.0
2021,800180.0
2020,801545.0
2019,795736.0
2018,798538.0
2017,792086.0
2016,791632.0
2015,787266.0
2014,787301.0
2013,794228.0
2012,799188.0
2011,800469.0
2010,810444.0
2009,815440.0
2020,800862.5
2019,798640.5
2018,797137.0
2017,795312.0
2016,791859.0
2015,789449.0
2014,787283.5
2013,790764.5
2012,796708.0
2011,799828.5
2010,805456.5
2009,812942.0
2020,60.31
2019,89.9
2018,98.98
2017,98.45
2016,98.5
2015,84.11
2014,90.82
2013,94.47
2012,90.25
2011,117.15
2010,104.79
