Year,Sexe,Edat,Value
2020,,,5.1
2019,,,5.87
2018,,,5.69
2017,,,5.48
2016,,,5.2
2015,,,4.97
2014,,,4.67
2013,,,4.33
2012,,,4.08
2011,,,3.76
2010,,,3.33
2009,,,3.23
2020,Homes,,5.74
2019,Homes,,6.77
2018,Homes,,6.47
2017,Homes,,6.03
2016,Homes,,5.46
2015,Homes,,5.1
2014,Homes,,4.75
2013,Homes,,4.23
2012,Homes,,3.9
2011,Homes,,3.56
2010,Homes,,3.09
2009,Homes,,2.92
2020,Dones,,4.63
2019,Dones,,5.24
2018,Dones,,5.13
2017,Dones,,5.06
2016,Dones,,5.0
2015,Dones,,4.87
2014,Dones,,4.61
2013,Dones,,4.42
2012,Dones,,4.26
2011,Dones,,3.95
2010,Dones,,3.59
2009,Dones,,3.55
2020,,<30,7.79
2019,,<30,10.52
2018,,<30,9.75
2017,,<30,8.9
2016,,<30,8.8
2015,,<30,8.65
2020,,30 a 49,20.18
2019,,30 a 49,28.62
2018,,30 a 49,30.02
2017,,30 a 49,31.58
2016,,30 a 49,30.89
2015,,30 a 49,29.69
2020,,>=50,4.51
2019,,>=50,4.96
2018,,>=50,4.54
2017,,>=50,4.15
2016,,>=50,3.69
2015,,>=50,3.33
