Year,Gender,Age,Value
2022,,,5.61
2021,,,5.1
2020,,,5.1
2019,,,5.87
2018,,,5.68
2017,,,5.48
2016,,,5.2
2015,,,4.97
2014,,,4.67
2013,,,4.33
2012,,,4.08
2011,,,3.76
2010,,,3.33
2009,,,3.23
2022,Men,,5.88
2021,Men,,5.97
2020,Men,,5.7
2019,Men,,6.77
2018,Men,,6.47
2017,Men,,6.04
2016,Men,,5.46
2015,Men,,5.09
2014,Men,,4.75
2013,Men,,4.23
2012,Men,,3.9
2011,Men,,3.56
2010,Men,,3.09
2009,Men,,2.92
2022,Women,,5.4
2021,Women,,4.48
2020,Women,,4.6
2019,Women,,5.25
2018,Women,,5.13
2017,Women,,5.06
2016,Women,,5.0
2015,Women,,4.87
2014,Women,,4.61
2013,Women,,4.42
2012,Women,,4.26
2011,Women,,3.95
2010,Women,,3.59
2009,Women,,3.55
2022,,<30,2.63
2021,,<30,3.79
2020,,<30,3.6
2019,,<30,4.94
2018,,<30,4.56
2017,,<30,4.14
2016,,<30,3.86
2015,,<30,3.58
2014,,<30,3.29
2013,,<30,3.05
2022,,30 a 49,3.74
2021,,30 a 49,4.47
2020,,30 a 49,4.5
2019,,30 a 49,5.4
2018,,30 a 49,5.22
2017,,30 a 49,5.04
2016,,30 a 49,4.79
2015,,30 a 49,4.53
2014,,30 a 49,4.33
2013,,30 a 49,4.0
2022,,>=50,5.69
2021,,>=50,6.3
2020,,>=50,6.4
2019,,>=50,6.68
2018,,>=50,6.59
2017,,>=50,6.47
2016,,>=50,6.23
2015,,>=50,6.14
2014,,>=50,5.87
2013,,>=50,5.6
