Year,Sexe,Edat,Value
2019,,,3.0
2018,,,2.0
2017,,,3.0
2016,,,4.0
2015,,,3.0
2014,,,6.0
2013,,,3.0
2012,,,5.0
2011,,,3.0
2010,,,6.0
2009,,,5.0
2021,,,800180.0
2020,,,801545.0
2019,,,795736.0
2018,,,798538.0
2017,,,792086.0
2016,,,791632.0
2015,,,787266.0
2014,,,787301.0
2013,,,794228.0
2012,,,799188.0
2011,,,800469.0
2010,,,810444.0
2009,,,815440.0
2020,,,800862.5
2019,,,798640.5
2018,,,797137.0
2017,,,795312.0
2016,,,791859.0
2015,,,789449.0
2014,,,787283.5
2013,,,790764.5
2012,,,796708.0
2011,,,799828.5
2010,,,805456.5
2009,,,812942.0
2019,,,0.38
2018,,,0.25
2017,,,0.38
2016,,,0.51
2015,,,0.38
2014,,,0.76
2013,,,0.38
2012,,,0.63
2011,,,0.38
2010,,,0.74
2009,,,0.62
2019,Homes,,2.0
2018,Homes,,2.0
2017,Homes,,2.0
2016,Homes,,2.0
2015,Homes,,2.0
2014,Homes,,3.0
2013,Homes,,2.0
2012,Homes,,4.0
2011,Homes,,2.0
2010,Homes,,2.0
2009,Homes,,4.0
2021,Homes,,380275.0
2020,Homes,,381117.0
2019,Homes,,378431.0
2018,Homes,,380807.0
2017,Homes,,377718.0
2016,Homes,,378282.0
2015,Homes,,376142.0
2014,Homes,,375952.0
2013,Homes,,380127.0
2012,Homes,,383245.0
2011,Homes,,384159.0
2010,Homes,,390293.0
2009,Homes,,393358.0
2020,Homes,,380696.0
2019,Homes,,379774.0
2018,Homes,,379619.0
2017,Homes,,379262.5
2016,Homes,,378000.0
2015,Homes,,377212.0
2014,Homes,,376047.0
2013,Homes,,378039.5
2012,Homes,,381686.0
2011,Homes,,383702.0
2010,Homes,,387226.0
2009,Homes,,391825.5
2019,Homes,,0.53
2018,Homes,,0.53
2017,Homes,,0.53
2016,Homes,,0.53
2015,Homes,,0.53
2014,Homes,,0.8
2013,Homes,,0.53
2012,Homes,,1.05
2011,Homes,,0.52
2010,Homes,,0.52
2009,Homes,,1.02
2019,Dones,,1.0
2018,Dones,,0.0
2017,Dones,,1.0
2016,Dones,,2.0
2015,Dones,,1.0
2014,Dones,,3.0
2013,Dones,,1.0
2012,Dones,,1.0
2011,Dones,,1.0
2010,Dones,,4.0
2009,Dones,,1.0
2021,Dones,,419905.0
2020,Dones,,420428.0
2019,Dones,,417305.0
2018,Dones,,417731.0
2017,Dones,,414368.0
2016,Dones,,413350.0
2015,Dones,,411124.0
2014,Dones,,411349.0
2013,Dones,,414101.0
2012,Dones,,415943.0
2011,Dones,,416310.0
2010,Dones,,420151.0
2009,Dones,,422082.0
2020,Dones,,420166.5
2019,Dones,,418866.5
2018,Dones,,417518.0
2017,Dones,,416049.5
2016,Dones,,413859.0
2015,Dones,,412237.0
2014,Dones,,411236.5
2013,Dones,,412725.0
2012,Dones,,415022.0
2011,Dones,,416126.5
2010,Dones,,418230.5
2009,Dones,,421116.5
2019,Dones,,0.24
2018,Dones,,0.0
2017,Dones,,0.24
2016,Dones,,0.48
2015,Dones,,0.24
2014,Dones,,0.73
2013,Dones,,0.24
2012,Dones,,0.24
2011,Dones,,0.24
2010,Dones,,0.96
2009,Dones,,0.24
2019,,<30,0.0
2018,,<30,0.0
2017,,<30,0.0
2016,,<30,0.0
2015,,<30,0.0
2014,,<30,0.0
2013,,<30,0.0
2012,,<30,0.0
2011,,<30,0.0
