Year,Sexe,GeoCode,Value
2020,,,4.07
2019,,,2.75
2018,,,3.16
2017,,,3.71
2016,,,2.86
2015,,,1.84
2014,,,3.56
2013,,,3.26
2012,,,3.54
2011,,,3.42
2010,,,4.99
2009,,,4.23
2020,Homes,,4.19
2019,Homes,,2.67
2018,Homes,,4.47
2017,Homes,,4.67
2016,Homes,,4.68
2015,Homes,,1.8
2014,Homes,,3.72
2013,Homes,,2.32
2012,Homes,,4.99
2011,Homes,,4.66
2010,Homes,,4.74
2009,Homes,,4.94
2020,Dones,,3.95
2019,Dones,,2.83
2018,Dones,,1.73
2017,Dones,,2.68
2016,Dones,,0.93
2015,Dones,,1.88
2014,Dones,,3.39
2013,Dones,,4.26
2012,Dones,,1.98
2011,Dones,,2.14
2010,Dones,,5.26
2009,Dones,,3.43
